"","Country","Total population in people","Population density in people/km^2","GDP  (current US$)","GDP per capita, PPP (current  international $)","Renewable energy consumption (% of total)","Industy value added (% of GDP)","Agriculture value added (% of GDP)","Forest area (in km^2)","Primary energy consumption (TWh)","Primary energy consumption per capita (kWh/person)","pm10_avg","no2_avg","o3_avg","pm25_avg"
"1","Andorra",75013,159.602127659574,3218316013.22626,42903.44,18.58,11.0763337210625,0.546367882815281,160,NA,NA,36.5,26.551032,109.0625,NA
"2","Austria",8840521,107.131858943286,454991174096.102,56960.0914258929,34.11,25.3664293905671,1.13060289104829,38919.7,4078277587890625,4586775390625,33.242196425,19.8862310416667,123.556031932692,14.1679208636364
"3","Belgium",11427054,377.379590488771,543299066998.902,52535.23221854,10.66,18.9339307746014,0.603042098829086,6893,7259660034179688,6322544921875,36.8408175873016,26.9433479473684,124.001678871795,12.9973170597015
"4","Bosnia and Herzegovina",3400129,66.40876953125,20183510863.0054,14581.3623416022,35.4,24.5234421550422,5.88543547060014,21879.1,7324684143066406,2203622265625,105.4355435,20.5049645,96.982453125,44.9684936666667
"5","Bulgaria",7025037,64.7110998526161,66363537115.2686,23011.5409053762,19.6,22.4046812030888,3.3846096037225,38670,2176241912841797,30861630859375,56.5037837837838,20.1360188095238,98.21847915,19.5864424285714
"6","Croatia",4087843,73.0441533843185,62316840749.9705,28903.7260829857,32.83,19.8570185266727,2.95146346740219,19341.1,9816043853759766,2361665625,50.1294232,16.4995866153846,119.5717484,16.4719939
"7","Cyprus",1218831,131.908116883117,25596474964.5725,40668.6171875,12.11,12.1691092934079,1.72854144353231,1725.7,3246214294433594,272960390625,54.1666666666667,16.6034723333333,121.303495666667,12.55556275
"8","Czechia",10629928,137.675534257221,249000540729.179,41135.4929835656,14.72,31.7708544140094,1.93625258997764,26734.7,4839332580566406,453729453125,44.5770924396552,18.5561429552239,128.365892866667,20.51858515625
"9","Denmark",5793636,144.8409,356841216410.068,57482.9623999067,34.67,20.8244932866501,1.0265693512957,6265.6,19943406677246096,346713359375,35.3089167142857,15.0476466153846,107.310696375,12.91285975
"10","Estonia",1321977,30.9234385964912,30624720196.229,36249.3581462876,28.59,24.0241659627792,2.08940044213798,24384,7764768981933594,5869448046875,24.3,4.92101842857143,NA,6.4521922
