"","AirPollutionLevel","Longitude","Latitude","Zone"
"1",60.100279,11.2722,43.7731,"Center"
"2",60.022709,8.96806,44.4049,"North"
"3",59.259929,9.19139,45.4956,"North"
"4",58.280379,12.4694,41.8642,"Center"
"5",57.675982,11.6333,46.6876,"North"
"6",57.458418,10.2319,45.5386,"North"
"7",56.694241,14.2717,40.8536,"South"
"8",56.535396,12.5089,41.8831,"Center"
"9",56.016281,7.69534,45.1041,"North"
"10",54.687636,8.91194,44.4139,"North"
"11",53.787038,9.22806,45.5514,"North"
"12",51.899691,7.6782,45.0758,"North"
"13",51.679291,13.3293,38.1217,"South"
"14",50.987853,8.90139,44.4628,"North"
"15",50.676181,12.4697,41.9475,"Center"
"16",50.486849,15.0972,37.5158,"South"
"17",49.729197,12.5489,41.9103,"Center"
"18",49.458001,9.19806,45.4697,"North"
"19",49.244902,11.3283,44.4997,"North"
"20",45.895951,9.19583,45.4628,"North"
"21",45.759998,8.82611,44.4256,"North"
"22",45.532112,14.2755,40.8723,"South"
"23",45.37888,14.3411,40.8643,"South"
"24",45.099136,9.1825,45.4492,"North"
"25",44.89611,10.8189,44.5412,"North"
"26",44.554778,8.6197,45.4403,"North"
"27",44.47241,14.2513,40.8542,"South"
"28",44.465777,11.1102,46.1043,"North"
"29",43.935278,14.7775,40.6954,"South"
"30",43.512729,9.08361,45.8044,"North"
"31",42.802954,9.23639,45.5339,"North"
"32",42.760055,13.3542,38.1244,"South"
"33",42.712714,8.95013,44.4031,"North"
"34",42.588924,12.4475,41.9064,"Center"
"35",41.872189,9.83278,44.1128,"North"
"36",41.178943,9.16698,45.5476,"North"
"37",41.023061,9.66167,45.6957,"North"
"38",40.760096,13.3308,41.62,"Center"
"39",40.456493,8.29011,44.3653,"North"
"40",39.826836,11.3418,46.4823,"North"
"41",39.526782,10.9047,44.636,"North"
"42",39.1513,11.2314,43.7858,"Center"
"43",39.060747,10.3297,43.5547,"Center"
"44",39.045845,12.5686,41.8578,"Center"
"45",38.873766,12.5756,44.0522,"North"
"46",38.629294,12.4753,41.8939,"Center"
"47",38.275162,9.28278,45.3953,"North"
"48",38.229084,9.23583,45.4783,"North"
"49",38.05549,11.34,46.4955,"North"
"50",38.028129,14.2311,40.8494,"South"
"51",37.954807,11.8906,45.4333,"North"
"52",37.854223,8.94639,44.5728,"North"
"53",37.78882,9.15694,45.6608,"North"
"54",37.588794,11.6131,44.8425,"North"
"55",37.586673,13.3383,41.73,"Center"
"56",37.381311,16.8733,41.1233,"South"
"57",37.352785,9.40619,45.698,"North"
