"","AirPollutionLevel","Longitude","Latitude","Zone"
"1",164.077251,9.12583,45.7272,"North"
"2",163.244026,9.22278,45.8094,"North"
"3",160.947016,9.02417,45.6269,"North"
"4",158.631329,9.27444,45.5811,"North"
"5",158.302473,9.34889,45.8408,"North"
"6",158.291771,9.49694,45.9131,"North"
"7",156.699536,9.46667,45.6833,"North"
"8",156.0725,8.79768,44.4284,"North"
"9",155.511161,10.2194,45.5153,"North"
"10",154.998273,9.27611,45.6022,"North"
"11",154.118957,8.75,45.6167,"North"
"12",153.75,9.66917,45.0383,"North"
"13",153.405647,9.64389,45.6903,"North"
"14",153.364801,9.39583,45.8494,"North"
"15",152.518444,8.80417,45.8361,"North"
"16",151.625,10.958,46.0825,"North"
"17",151.032207,9.28611,46.0158,"North"
"18",150.365078,9.66694,45.235,"North"
"19",150.349514,10.4808,45.4633,"North"
"20",149.534297,8.83449,45.5829,"North"
"21",149.479826,8.84861,45.5467,"North"
"22",148.817693,8.915,45.0408,"North"
"23",148.75,11.5692,45.8483,"North"
"24",148.04767,10.0458,45.1422,"North"
"25",147.625,7.5496,45.0069,"North"
"26",146.188612,9.16698,45.5476,"North"
"27",146,8.6232,44.9203,"North"
"28",145.719789,8.98944,45.2828,"North"
"29",145.705805,9.3275,45.4828,"North"
"30",144.743086,9.385,46.1372,"North"
"31",143.821649,9.61154,45.6206,"North"
"32",143.75,10.6639,44.8731,"North"
"33",143.682537,9.49529,45.3028,"North"
"34",143.320347,10.2994,45.2489,"North"
"35",142,10.3317,44.7936,"North"
"36",141.714286,11.3114,45.1836,"North"
"37",141.656684,10.5172,44.9247,"North"
"38",141.152476,9.94028,45.1483,"North"
"39",141,11.0378,45.59,"North"
"40",140.855803,11.0708,44.9969,"North"
"41",140.083799,9.16472,45.1939,"North"
"42",140,10.2889,44.6575,"North"
"43",139.7625,15.0968,41.156,"South"
"44",139.562231,9.56639,46.1317,"North"
"45",139.375,7.8375,45.0028,"North"
"46",139.162578,9.23583,45.4783,"North"
"47",139.119098,10.6919,45.4108,"North"
"48",138.375,10.7339,44.5161,"North"
"49",138.375,12.3139,45.4294,"North"
"50",138.375,11.1779,44.9278,"North"
"51",138.25164,10.7956,45.1606,"North"
"52",137.9875,8.94111,44.4075,"North"
"53",137.875,11.6431,45.29,"North"
"54",137.75,7.6362,44.9513,"North"
"55",137.666667,11.3686,45.7144,"North"
"56",137.625,11.8419,45.3719,"North"
"57",137.625,8.5655,45.9303,"North"
"58",137.481822,9.55639,45.4975,"North"
"59",137.375,11.0301,45.433,"North"
"60",137.294777,9.58611,45.3086,"North"
"61",137.118368,10.2008,45.655,"North"
"62",137,11.2861,45.4,"North"
"63",136.5,11.7911,45.0397,"North"
"64",136.5,11.7367,45.7608,"North"
"65",136.495091,10.0072,45.2792,"North"
"66",136.375,10.8836,44.7994,"North"
"67",136.375,11.9611,44.8397,"North"
"68",135.875,10.9063,44.6506,"North"
"69",135.5,8.2055,44.9089,"North"
"70",135.45,14.4813,40.9243,"South"
"71",135.375,9.0524,44.7633,"North"
"72",135.25,9.83028,44.8239,"North"
"73",135,7.6259,45.0419,"North"
"74",134.875,7.6491,45.0249,"North"
