"","AirPollutionLevel","Longitude","Latitude","Zone"
"1",90,13.3308,41.62,"Center"
"2",87,13.3372,41.57,"Center"
"3",71.6,14.3895,40.9209,"South"
"4",69.400002,10.3131,45.5047,"North"
"5",69.4,14.401,40.9797,"South"
"6",67,7.69534,45.1041,"North"
"7",65.38083,9.48556,45.3053,"North"
"8",63.4,14.3698,40.9411,"South"
"9",63,7.7782,45.1432,"North"
"10",62,11.8419,45.3719,"North"
"11",62,11.94,45.3775,"North"
"12",61.860001,9.19139,45.4956,"North"
"13",61,11.8906,45.4333,"North"
"14",61,12.2183,45.4903,"North"
"15",60.697264,8.84583,45.3044,"North"
"16",60.4,14.2987,40.9146,"South"
"17",60.200001,9.40619,45.698,"North"
"18",60,7.6782,45.0758,"North"
"19",60,12.2056,45.4383,"North"
"20",59.5,9.94028,45.1483,"North"
"21",59.299999,9.19806,45.4697,"North"
"22",59.299999,9.86417,45.2847,"North"
"23",59.200001,9.15694,45.6608,"North"
"24",59,8.1975,44.8942,"North"
"25",59,11.9022,45.6003,"North"
"26",59,10.5739,43.8408,"Center"
"27",59,11.6658,45.2267,"North"
"28",59,12.2161,45.6588,"North"
"29",59,11.5342,45.5458,"North"
"30",58.77683,8.79417,39.5467,"South"
"31",58.448178,9.41472,45.3294,"North"
"32",58.400809,9.14694,45.1856,"North"
"33",57.765202,9.19583,45.4628,"North"
"34",57.049165,9.69833,45.1586,"North"
"35",57,8.612,44.9066,"North"
"36",57,8.0434,45.2948,"North"
"37",57,9.3275,45.4828,"North"
"38",57,11.5397,45.5606,"North"
"39",56.8775,10.0167,45.1328,"North"
"40",56.8,14.7855,40.9188,"South"
"41",56.599998,9.27444,45.5811,"North"
"42",56,11.5533,45.1039,"North"
"43",56,10.9047,44.636,"North"
"44",56,10.6228,44.7003,"North"
"45",55.838331,8.75472,45.2811,"North"
"46",55.799999,9.705,45.3672,"North"
"47",55.799999,10.0458,45.1422,"North"
"48",55.5,8.8925,45.4675,"North"
"49",55.258329,9.55639,45.6331,"North"
"50",55.1,14.0922,41.1853,"South"
"51",55,12.6517,42.5522,"Center"
"52",55,11.7833,45.0747,"North"
"53",55,12.2386,45.6725,"North"
"54",55,10.9639,45.4453,"North"
"55",55,7.6491,45.0249,"North"
"56",54.799999,9.23583,45.4783,"North"
"57",54.599998,10.2194,45.5153,"North"
"58",54.5,9.49529,45.3028,"North"
"59",54.254999,10.2008,45.655,"North"
"60",54.099998,9.61472,45.6439,"North"
"61",54.09999,13.5325,37.2919,"South"
"62",54,11.5219,45.5319,"North"
"63",54,9.16472,45.1939,"North"
"64",54,11.3114,45.1836,"North"
"65",54,7.6259,45.0419,"North"
"66",53.900002,9.08361,45.8044,"North"
"67",53.5,9.02417,45.6269,"North"
"68",53.4,14.7024,40.711,"South"
"69",53.299999,9.27611,45.6022,"North"
"70",53.23,9.55639,45.4975,"North"
"71",53.17259,9.50333,45.5281,"North"
"72",53.099998,9.64389,45.6903,"North"
"73",53,13.8306,41.49,"Center"
"74",53,7.658,45.1546,"North"
"75",53,13.0094,41.725,"Center"
"76",53,8.6232,44.9203,"North"
"77",53,11.2861,45.4,"North"
"78",53,12.2622,45.4992,"North"
"79",52.998359,10.2236,45.5408,"North"
"80",52.900002,10.1775,45.8739,"North"
"81",52.805997,9.00944,45.0003,"North"
"82",52.799992,9.66694,45.235,"North"
"83",52.500833,9.66167,45.6957,"North"
"84",52.330308,12.5019,45.9509,"North"
"85",52,10.3367,44.7883,"North"
"86",52,10.8189,44.5412,"North"
"87",52,11.7911,45.0397,"North"
"88",52,11.6131,44.8425,"North"
"89",52,12.5756,44.0522,"North"
"90",52,10.3317,44.7936,"North"
"91",52,12.6236,42.5819,"Center"
"92",51.75,9.59139,45.5183,"North"
"93",51.72,18.0536,40.4881,"South"
"94",51.700001,11.2044,45.0514,"North"
"95",51.558333,14.2717,40.8536,"South"
"96",51.084999,10.6919,45.4108,"North"
"97",51,11.0301,45.433,"North"
"98",51,12.3139,45.4294,"North"
"99",50.80954,10.7819,45.1644,"North"
"100",50.700001,10.3858,45.6394,"North"
"101",50.400002,8.86889,45.0683,"North"
"102",50.1,15.2817,37.079,"South"
"103",50,12.5103,45.8369,"North"
"104",50,8.0333,44.7037,"North"
"105",50,11.6431,45.29,"North"
"106",50,9.69333,45.0489,"North"
"107",50,10.9063,44.6506,"North"
"108",49.741667,14.1508,41.1686,"South"
"109",49.459164,8.90556,45.1017,"North"
"110",49.400002,11.0708,44.9969,"North"
"111",49.4,14.3493,40.8159,"South"
"112",49.350378,12.5363,45.8987,"North"
"113",49.254167,13.0186,43.8397,"Center"
"114",49,8.7861,45.4097,"North"
"115",49,12.6508,42.56,"Center"
"116",49,7.878,45.4512,"North"
"117",49,12.5219,42.5342,"Center"
"118",49,8.4452,45.1361,"North"
"119",49,8.4151,45.3284,"North"
"120",48.9,14.3312,41.078,"South"
"121",48.5,14.3781,41.0459,"South"
"122",48,9.71389,45.082,"North"
"123",48,10.8836,44.7994,"North"
"124",48,11.9058,46.0308,"North"
"125",48,10.6639,44.8731,"North"
"126",48,12.0619,45.0467,"North"
"127",48,13.3542,38.1244,"South"
"128",48,10.6647,44.6908,"North"
"129",47.799992,8.73667,45.5258,"North"
"130",47.6,13.8794,42.9444,"Center"
"131",47.599998,9.12583,45.7272,"North"
"132",47.491667,14.3411,40.8643,"South"
"133",47.400002,10.8033,45.1444,"North"
"134",47.4,14.2755,40.8723,"South"
"135",47,13.3383,41.73,"Center"
"136",47,12.4025,44.0958,"North"
"137",47,8.75,45.6167,"North"
"138",47,12.2458,43.4569,"Center"
"139",47,11.2997,44.7383,"North"
"140",47,11.6497,44.825,"North"
"141",47,8.6197,45.4403,"North"
"142",47,12.1867,44.4286,"North"
"143",46.978333,9.34889,45.8408,"North"
"144",46.66,17.1229,39.0797,"South"
"145",46.540401,9.61154,45.6206,"North"
"146",46.357497,12.9259,45.8569,"North"
"147",46.238331,9.46667,45.6833,"North"
"148",46.095833,14.7894,41.1315,"South"
"149",46.043651,10.7956,45.1606,"North"
"150",46,10.3708,44.9261,"North"
"151",46,12.7078,42.9517,"Center"
"152",46,10.7339,44.5161,"North"
"153",46,8.4024,45.3189,"North"
"154",46,11.2722,43.7731,"Center"
"155",46,12.2256,44.42,"North"
"156",46,14.1975,42.4519,"Center"
"157",45.816667,13.245,43.5269,"Center"
"158",45.8,8.94639,44.5728,"North"
"159",45.1,12.9189,43.8933,"Center"
"160",45,10.7914,44.5394,"North"
"161",45,12.237,41.7682,"Center"
"162",45,12.4694,41.8642,"Center"
"163",45,12.6069,41.7978,"Center"
"164",45,8.3103,44.808,"North"
"165",45,11.3283,44.4997,"North"
"166",45,11.0069,43.9161,"Center"
"167",45,12.0564,44.215,"North"
"168",45,13.3503,38.111,"South"
"169",45,9.66917,45.0383,"North"
"170",44.741667,14.2513,40.8542,"South"
"171",44.6,14.2545,40.8637,"South"
"172",44.469583,16.7878,41.1144,"South"
"173",44.200001,9.39583,45.8494,"North"
"174",44,7.8146,44.4018,"North"
"175",44,13.3233,41.6389,"Center"
"176",44,10.5122,43.8439,"Center"
"177",44,8.6206,45.4383,"North"
"178",44,12.5489,41.9103,"Center"
"179",44,12.5417,41.8861,"Center"
"180",43.935299,8.83449,45.5829,"North"
"181",43.9226,9.22278,45.8094,"North"
"182",43.91119,14.0472,41.4842,"Center"
"183",43.400002,8.82028,45.8169,"North"
"184",43.3,15.2862,37.0913,"South"
"185",43.299999,9.39583,45.8494,"North"
"186",43.1,9.115,39.2358,"South"
"187",43,12.6664,42.7433,"Center"
"188",43,11.1779,44.9278,"North"
"189",43,12.3322,44.2839,"North"
"190",43,11.1053,43.8747,"Center"
"191",43,12.5686,41.8578,"Center"
"192",42.5,9.13639,39.2606,"South"
"193",42.5,14.1225,40.8229,"South"
"194",42,11.4539,46.0518,"North"
"195",42,11.1102,46.1043,"North"
"196",42,8.4157,45.8988,"North"
"197",42,12.0489,44.2192,"North"
"198",42,12.2392,44.1392,"North"
"199",42,11.2861,44.5,"North"
"200",41.9,15.2853,37.0678,"South"
"201",41.88,18.0951,40.3463,"South"
"202",41.8,13.3875,43.6333,"Center"
"203",41.4,14.259,37.0687,"South"
"204",41.29,17.9645,40.4185,"South"
"205",41.0875,13.5086,43.6117,"Center"
"206",41,11.3686,45.7144,"North"
"207",41,11.11,42.7625,"Center"
"208",41,13.0044,41.7308,"Center"
"209",41,8.1876,45.569,"North"
"210",41,10.7717,43.7131,"Center"
"211",41,11.9611,44.8397,"North"
"212",41,11.4669,43.623,"Center"
"213",41,10.5005,43.8328,"Center"
"214",41,12.5089,41.8831,"Center"
"215",41,11.6394,44.6622,"North"
"216",41,10.5599,44.0055,"North"
"217",41,14.2131,42.4664,"Center"
"218",40.9,12.6559,45.9626,"North"
"219",40.599998,9.88028,46.1686,"North"
"220",40.59826,8.99583,39.2269,"South"
"221",40.4,17.8083,40.5656,"South"
"222",40.2,7.32306,45.7331,"North"
"223",40.2,14.8246,40.8355,"South"
"224",40,11.0919,43.8728,"Center"
"225",40,12.5533,44.0625,"North"
"226",40,11.4164,44.4722,"North"
"227",40,12.3661,43.1031,"Center"
"228",40,8.2921,46.1276,"North"
"229",40,11.7203,44.3556,"North"
"230",40,11.8767,43.4625,"Center"
"231",40,14.2347,42.4564,"Center"
"232",40,12.5336,41.9478,"Center"
"233",39.79999,15.0972,37.5158,"South"
"234",39.7,13.7838,45.6206,"North"
"235",39.7,12.6187,45.9577,"North"
"236",39.63,16.8733,41.1233,"South"
"237",39.5,9.87056,46.1672,"North"
"238",39.41,8.28056,44.3824,"North"
"239",39.400002,9.56639,46.1317,"North"
"240",39.2,16.6083,38.869,"South"
"241",39,14.1483,42.5175,"Center"
"242",39,11.355,44.4833,"North"
"243",39,12.3081,45.8906,"North"
"244",39,12.4697,41.9475,"Center"
"245",39,12.4753,41.8939,"Center"
"246",38.954387,13.2621,45.8108,"North"
"247",38.6,8.38611,39.2033,"South"
"248",38.29999,14.2842,37.0622,"South"
